Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci dzierżawy i wypożyczania łodzi żaglowej bez załogi, powodującej wprowadzenie nowego zakresu działalności i zwiększenia odporności przedsiębiorstwa Cleopatra Premium Sp. z o.o. na sytuacje kryzysowe- Region 3 Województwo łódzkie",CLEOPATRA PREMIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Łódzkie,Lublin,Trześniowska,63,20-227,469807.87
Wzmocnienie odporności firmy OZDOBA I SYN S.C. poprzez inwestycje w nowe usługi oraz zieloną i cyfrową transformację,OZDOBA I SYN S.C.,ŁÓDZKIE,Łódź,,8,94-302,292095.0
Wzmocnienie odporności Restauracji Pod Czaplą działającej w regionie 4 poprzezwdrożenie nowych usług do oferty.,Restauracja Pod Czaplą Dobrowolscy spółka cywilna,ŚLĄSKIE,Bytom,Stanisława Moniuszki,8,41-902,305690.6
"Inwestycja spółki WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA w zakup wyposażenia/sprzętów kuchennych, wyposażenia ogródków letnich i wprowadzenia zielonej i cyfrowej transformacji w 2 placówkach gastronomicznych w województwie śląskim, w celu umocnienia pozycji rynkowej przedsiębiorstwa na wypadek sytuacji kryzysowych.",WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA,ŚLĄSKIE,Żory,Józefa Mikołajca,17,44-240,113032.23
Projekt ZIELONA OLIWKA: Rewolucja w gastronomii Gliwic poprzez remont i stworzenie nowego miejsca spotkań – Restauracji-Pizzerii z bogatą ofertą pizzy na drewno.,"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""IWO"" IWONA GARCZAREK-CIEKOT",ŚLĄSKIE,Zabrze,Jagiellońska,38,41-800,416997.9
Rozszerzenie oferty produktowej przedsiębiorstwa „SŁODKI PRZYSTANEK MONIKA KRZYSZCZUK” wraz z wejściem na rynek cateringowy w celu zwiększenia odporności firmy na potencjalne przyszłe kryzysy – region 4: woj. OPOLSKIE,Słodki Przystanek Monika Krzyszczuk,OPOLSKIE,Brzeg,Księdza Makarskiego,37,49-300,214023.48
Projekt zrównoważonego rozwoju hotelu Kinga,KINGA S.C. JAROSŁAW I JOANNA WITAS,ŚLĄSKIE,Żarki-Letnisko,Nadrzeczna,35,42-311,462702.6
Eko-Innowacje w HoReCa: Rozwój Zrównoważonej Infrastruktury Turystycznej i Gastronomicznej w Osadzie Zborów,"""BODEKO HOTELE"" SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ŚLĄSKIE,Wisła,Jawornik,52A,43-460,352445.94
Wprowadzenie nowych usług do oferty Ośrodka na terenie województwa śląskiego,"Przedsiębiorstwo Hotelarsko-Turystyczne ""ODYS"" Spółka z ograniczoną odpowiedzialnością",ŚLĄSKIE,Tresna,Nad Jeziorem,99,34-311,479320.85
Zwiększenie odporności firmy New York Hot Dogs na sytuacje kryzysowe poprzez rozszerzenie prowadzonej działalności w zakresie asortymentów produktów i sposobu dostarczania produktów,NEW YORK HOT DOG KRZYSZTOF KUDANOWSKI SPÓŁKA JAWNA,ŁÓDZKIE,Łódź,Kaczeńcowa,10,91-214,402430.08
"Inwestycja w rozszerzenie działalności polegająca na utworzeniu strefy SPA, wykonaniu instalacji OZE, zakupie robota sprzątającego oraz wykonaniu szkolenia wrazz audytem dot. rozpoznawalności marki w mediach społecznościowych na tereniehotelu Magnus Resort w Bystrej na obszarze Regionu 4 obejmującego województwa łódzkie, opolskie, śląskie",MAGNUS ROYAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ŚLĄSKIE,Bystra,Juliana Fałata,222,43-360,537300.0
"Rozszerzenie działalności Restauracji ""Nowy Świat"" o nowe produkty i usługi",F.H.U. Anna Bielenin,ŚLĄSKIE,Bielsko-Biała,Łukowa,7,43-300,217703.97
Dywersyfikacja działalności restauracyjnej i wdrożenie nowego produktu w Restauracji Ondraszkowa Izba.,MIGAŁA EWA FIRMA ONDRASZEK,ŚLĄSKIE,Wisła,1 Maja,56,43-460,422826.55
Rozwój Kompleksu Góralskiego SPA-Jaworowa Osada: Inwestycja w Wellness i Turystykę Zdrowotną w Brennej w Beskidzie Śląskim,ANNA PASTERNY INWESTYCJE,ŚLĄSKIE,Ustroń,Jelenica,17,43-450,499054.1
"Dywersyfikacja działalności firmy Taurus Extreme Seweryn Drobisz poprzez wprowadzenie nowych usług - wypożyczalni rowerów szosowych oraz specjalistycznych treningów kolarskich w regionie 4, w województwie śląskim.",TAURUS EXTREME SEWERYN DROBISZ,ŚLĄSKIE,Ruda Śląska,Piernikarczyka,2,41-711,262872.0
„Rozszerzenie działalności prowadzonej przez „Robert Sklorz PARTY KAJAKI” w regionie opolskim o nowe usługi w celu ograniczenia skutków kryzysu wywołanego przez COVID-19”.,Robert Sklorz PARTY KAJAKI,OPOLSKIE,Staniszcze Małe,Granica,6a,47-113,477000.0
"""Lunch na patio"" w Bombon Cafe - wprowadzenie usługi lunchowej z opcją dowozu. Region 4 - woj. śląskie",Sandra Juroszek,ŚLĄSKIE,Wisła,1 Maja,64,43-460,227678.0
"""Rozszerzenie działalności S.C. BEATA ZDEBEL, ARKADIUSZ ZDEBEL, DACJUSZZDEBEL poprzez wdrożenie usługi serwowania posiłków na wynos oraz usługi profesjonalnej organizacji eventów - konferencji/szkoleń online wraz z udostępnieniem platformy do sprzedaży i rezerwacji terminów"". Region 4, województwo śląskie.","S.C. Beata Zdebel, Arkadiusz Zdebel, Dacjusz Zdebel",ŚLĄSKIE,Piekary Śląskie,Stara,1,41-940,402270.0
Rozszerzenie usług Karczmy Pod Ochodzitą znajdującej się w Koniakowie na terenie woj. śląskiego o organizację imprez plenerowych oraz wypożyczalnię sprzętu cateringowego,Krzysztof Bolik,ŚLĄSKIE,Koniaków,,205,43-474,413898.39
"Rozszerzenie działalności firmy o usługę sprzedaży dań z makaronu w mobilnej przyczepie gastronomicznej pozwalającej na obsługę klientów w atrakcyjnych lokalizacjach w województwie opolskim, w szczególności w gminie Brzeg.",Dawid Bronowicki,OPOLSKIE,Brzeg,Stefana Żeromskiego,13,49-305,99261.88
Rozszerzenie oferty firmy o wynajem sprzętu rekreacyjnego oraz organizację imprez plenerowych w regionie nr 4 województwie śląskim,"U FOJTA SC DARIUSZ KONDERLA,MAREK CIEŚLAR",ŚLĄSKIE,Wisła,Branców,2,43-460,390716.49
