iter	Passed	Remaining
0	2	2163
1	4	2059
2	6	2003
3	7	1986
4	9	1975
5	11	1958
6	13	1944
7	15	1927
8	17	1915
9	19	1925
10	21	1915
11	23	1908
12	25	1911
13	27	1905
14	28	1897
15	30	1892
16	32	1890
17	34	1898
18	37	1918
19	39	1916
20	41	1913
21	42	1907
22	44	1906
23	46	1901
24	48	1896
25	50	1893
26	52	1892
27	54	1888
28	56	1885
29	58	1881
30	60	1877
31	61	1874
32	64	1876
33	66	1875
34	67	1874
35	70	1874
36	72	1874
37	74	1875
38	76	1875
39	78	1873
40	79	1871
41	81	1870
42	83	1867
43	85	1862
44	87	1859
45	89	1855
46	91	1852
47	93	1848
48	95	1845
49	96	1842
50	98	1841
51	100	1837
52	102	1834
53	104	1831
54	106	1829
55	108	1826
56	110	1824
57	112	1821
58	114	1819
59	115	1816
60	117	1813
61	119	1811
62	121	1808
63	123	1807
64	125	1808
65	127	1806
66	129	1804
67	131	1802
68	133	1801
69	135	1799
70	137	1797
71	139	1797
72	141	1799
73	143	1796
74	145	1794
75	147	1792
76	149	1788
77	151	1786
78	152	1783
79	154	1779
80	156	1777
81	158	1775
82	160	1774
83	162	1773
84	164	1771
85	166	1770
86	168	1769
87	170	1767
88	172	1766
89	174	1764
90	176	1761
91	178	1759
92	180	1757
93	181	1753
94	183	1752
95	185	1749
96	187	1747
97	189	1746
98	191	1743
99	193	1741
100	195	1739
101	197	1737
102	199	1735
103	201	1732
104	203	1731
105	204	1728
106	206	1725
107	208	1723
108	210	1720
109	212	1718
110	214	1716
111	216	1714
112	218	1712
113	220	1710
114	222	1708
115	223	1706
116	225	1705
117	227	1702
118	229	1700
119	231	1697
120	233	1697
121	235	1696
122	237	1694
123	239	1691
124	241	1689
125	243	1687
126	245	1686
127	247	1683
128	249	1681
129	250	1679
130	252	1677
131	254	1675
132	256	1672
133	258	1670
134	260	1668
135	262	1666
136	264	1664
137	266	1663
138	268	1661
139	270	1659
140	272	1658
141	274	1656
142	276	1655
143	278	1653
144	280	1651
145	282	1650
146	284	1649
147	286	1648
148	288	1646
149	290	1645
150	292	1643
151	294	1641
152	296	1640
153	298	1638
154	300	1637
155	302	1634
156	304	1632
157	306	1630
158	307	1628
159	309	1626
160	311	1624
161	313	1622
162	315	1620
163	317	1618
164	319	1616
165	321	1613
166	323	1611
167	324	1609
168	326	1606
169	328	1604
170	330	1602
171	332	1600
172	334	1598
173	336	1596
174	338	1595
175	340	1592
176	342	1590
177	344	1588
178	346	1586
179	347	1584
180	349	1582
181	351	1580
182	353	1578
183	355	1577
184	357	1575
185	359	1573
186	361	1571
187	363	1569
188	365	1566
189	367	1565
190	368	1562
191	371	1561
192	372	1559
193	374	1557
194	377	1556
195	379	1555
196	381	1553
197	383	1551
198	385	1550
199	387	1548
200	389	1546
201	391	1545
202	393	1543
203	394	1541
204	397	1539
205	398	1537
206	400	1535
207	402	1533
208	404	1531
209	406	1529
210	408	1528
211	410	1526
212	412	1524
213	414	1522
214	416	1520
215	418	1518
216	420	1516
217	422	1513
218	423	1511
219	425	1510
220	427	1507
221	429	1505
222	431	1503
223	433	1501
224	435	1499
225	437	1496
226	438	1494
227	440	1492
228	442	1490
229	444	1488
230	446	1486
231	448	1484
232	450	1482
233	452	1480
234	454	1478
235	456	1476
236	457	1474
237	459	1472
238	461	1469
239	463	1467
240	465	1465
241	467	1463
242	468	1460
243	470	1458
244	472	1456
245	474	1453
246	476	1451
247	477	1449
248	479	1447
249	481	1444
250	483	1442
251	485	1440
252	486	1437
253	488	1435
254	490	1432
255	492	1431
256	494	1428
257	496	1426
258	497	1424
259	499	1422
260	501	1420
261	503	1417
262	505	1415
263	506	1413
264	508	1410
265	510	1408
266	512	1406
267	513	1403
268	515	1401
269	517	1399
270	519	1396
271	520	1394
272	522	1392
273	524	1389
274	526	1387
275	528	1385
276	529	1383
277	531	1380
278	533	1378
279	535	1377
280	537	1376
281	540	1375
282	542	1374
283	544	1373
284	546	1371
285	548	1370
286	550	1368
287	552	1366
288	554	1364
289	556	1362
290	558	1359
291	559	1357
292	561	1355
293	563	1353
294	565	1350
295	567	1348
296	568	1346
297	570	1344
298	572	1342
299	574	1339
300	576	1337
301	577	1335
302	579	1333
303	581	1331
304	583	1329
305	585	1327
306	586	1324
307	588	1322
308	590	1321
309	593	1320
310	595	1319
311	597	1318
312	599	1316
313	601	1315
314	603	1313
315	605	1311
316	607	1309
317	610	1308
318	612	1306
319	614	1305
320	616	1304
321	618	1303
322	621	1301
323	623	1300
324	625	1298
325	627	1296
326	629	1295
