Najlepsza_para,Interakcja,Korelacja
"('FoodCourt', 'TotalSpending')",Interakcja_FoodCourt_TotalSpending,0.4919826008748501
"('ShoppingMall', 'TotalSpending')",Interakcja_ShoppingMall_TotalSpending,0.4772070092920123
"('Spa', 'TotalSpending')",Interakcja_Spa_TotalSpending,0.4695299254948542
"('RoomService', 'VRDeck')",Interakcja_RoomService_VRDeck,0.46941241123799754
"('VRDeck', 'TotalSpending')",Interakcja_VRDeck_TotalSpending,0.46935377222438274
"('RoomService', 'Spa')",Interakcja_RoomService_Spa,0.46663522733168394
"('RoomService', 'TotalSpending')",Interakcja_RoomService_TotalSpending,0.4616297194121831
"('Spa', 'VRDeck')",Interakcja_Spa_VRDeck,0.4334787944762419
"('ShoppingMall', 'VRDeck')",Interakcja_ShoppingMall_VRDeck,0.41543060546871796
"('ShoppingMall', 'Spa')",Interakcja_ShoppingMall_Spa,0.41002291568814664
"('RoomService', 'FoodCourt')",Interakcja_RoomService_FoodCourt,0.4095473758577791
"('HomePlanet_Enc', 'CryoSleep_Enc')",Interakcja_HomePlanet_Enc_CryoSleep_Enc,0.39555967826820054
"('FoodCourt', 'Spa')",Interakcja_FoodCourt_Spa,0.38225624189173124
"('RoomService', 'ShoppingMall')",Interakcja_RoomService_ShoppingMall,0.3709341428319844
"('FoodCourt', 'ShoppingMall')",Interakcja_FoodCourt_ShoppingMall,0.364514293467895
"('FoodCourt', 'VRDeck')",Interakcja_FoodCourt_VRDeck,0.36327215829560905
"('CryoSleep_Enc', 'Cabin_Section_Enc')",Interakcja_CryoSleep_Enc_Cabin_Section_Enc,0.33477711418196826
"('CryoSleep_Enc', 'Group')",Interakcja_CryoSleep_Enc_Group,0.33344517848842814
"('CryoSleep_Enc', 'Destination_Enc')",Interakcja_CryoSleep_Enc_Destination_Enc,0.3319177514096649
"('CryoSleep_Enc', 'Cabin_Type_Enc')",Interakcja_CryoSleep_Enc_Cabin_Type_Enc,0.3306464407218765
"('Family', 'CryoSleep_Enc')",Interakcja_Family_CryoSleep_Enc,0.25284904232260086
"('HomePlanet_Enc', 'Group')",Interakcja_HomePlanet_Enc_Group,0.1265688556244577
"('Family', 'Cabin_Section_Enc')",Interakcja_Family_Cabin_Section_Enc,0.12397546325833435
"('Family', 'HomePlanet_Enc')",Interakcja_Family_HomePlanet_Enc,0.12336426183114775
"('Cabin_Section_Enc', 'Group')",Interakcja_Cabin_Section_Enc_Group,0.11716668923106782
"('HomePlanet_Enc', 'Cabin_Section_Enc')",Interakcja_HomePlanet_Enc_Cabin_Section_Enc,0.11040743120645272
"('Family', 'Group')",Interakcja_Family_Group,0.10638244867208475
"('Family', 'Cabin_Type_Enc')",Interakcja_Family_Cabin_Type_Enc,0.08069273431254302
"('Age', 'ShoppingMall')",Interakcja_Age_ShoppingMall,0.07992260130294024
