iter	Logloss
0	0.6882778566
1	0.6837196919
2	0.6793957611
3	0.6746495375
4	0.6697274962
5	0.6655552423
6	0.6618272582
7	0.6574644971
8	0.6548796127
9	0.6508981505
10	0.6474984012
11	0.6436936677
12	0.639561098
13	0.6362969697
14	0.63275397
15	0.629866415
16	0.6261707135
17	0.6222953227
18	0.6182207136
19	0.6161870245
20	0.6123611109
21	0.6087541153
22	0.6053139985
23	0.6029340829
24	0.5999446129
25	0.5965396824
26	0.5932725365
27	0.5902979837
28	0.5877715153
29	0.5844103685
30	0.5811530725
31	0.5780828106
32	0.5754947378
33	0.573143347
34	0.5700371586
35	0.567474536
36	0.5652888284
37	0.5624577537
38	0.5597000122
39	0.5572483575
40	0.5558842901
41	0.5531370248
42	0.5515639462
43	0.5496292684
44	0.547289037
45	0.5445698411
46	0.542216913
47	0.5403279546
48	0.5376142815
49	0.5353998213
50	0.5339290562
51	0.5319736538
52	0.5301339448
53	0.5276114051
54	0.5255753816
55	0.5236228829
56	0.5218750683
57	0.5197638896
58	0.5178287563
59	0.5164203359
60	0.5147001352
61	0.5132799291
62	0.5117990294
63	0.5103258731
64	0.5086023701
65	0.5068481218
66	0.5056578223
67	0.504146519
68	0.5021423795
69	0.5005136746
70	0.4990080648
71	0.4972121965
72	0.4956409967
73	0.4938273643
74	0.4926156001
75	0.4910963827
76	0.489716658
77	0.4884383928
78	0.4865209096
79	0.4854554134
80	0.4844129192
81	0.4830605806
82	0.4814727555
83	0.4803593764
84	0.4788620223
85	0.4777785913
86	0.4764659084
87	0.4750183447
88	0.4739779857
89	0.4724963459
90	0.471324209
91	0.4700819556
92	0.4690109936
93	0.4682055231
94	0.4671061217
95	0.4666084176
96	0.4655790756
97	0.4645394283
98	0.4634926639
99	0.4626266138
100	0.462090478
101	0.4609896247
102	0.4600823246
103	0.459087258
104	0.4581299682
105	0.4570810119
106	0.4559880726
107	0.455601194
108	0.4545776026
109	0.4535790344
110	0.4527759837
111	0.4518663207
112	0.4506831383
113	0.4499246113
114	0.4489904375
115	0.4479346489
116	0.4471849755
117	0.4467813293
118	0.4457722564
119	0.4451436854
120	0.444323497
121	0.4436964348
122	0.4429631304
123	0.4417835919
124	0.4407862763
125	0.4403648092
126	0.4397025037
127	0.4386950536
128	0.4380357657
129	0.4377777327
130	0.4372189081
131	0.4368745889
132	0.4361803425
133	0.4356132621
134	0.4347903693
135	0.4344883534
136	0.4339484599
137	0.433189449
138	0.4324878294
139	0.4318761968
140	0.4314916241
141	0.4312817588
142	0.4305408819
143	0.4298139828
144	0.4293998604
145	0.4286747833
146	0.4284831659
147	0.4277465593
148	0.4271006228
149	0.4268177089
150	0.4260175904
151	0.4253021354
152	0.4247384427
153	0.4239090307
154	0.4234042951
155	0.4227499321
156	0.4219344979
157	0.4212629404
158	0.420819126
159	0.4203423457
160	0.4198563989
161	0.4193776828
162	0.4187540652
163	0.418247593
164	0.4179609213
165	0.4177334914
166	0.4171766879
167	0.4164833524
168	0.4159822606
169	0.4152974655
170	0.4146754706
171	0.4142980149
172	0.4138274406
173	0.4131580182
174	0.4126433187
175	0.4120803947
176	0.4116590699
177	0.4113029935
178	0.4108060011
179	0.4102642002
180	0.4097348683
181	0.4094259632
182	0.4088144445
183	0.4083122424
184	0.4080328301
185	0.4075430685
186	0.4071561614
187	0.4068506155
188	0.4060799898
189	0.4055543017
190	0.4050542917
191	0.4048538777
192	0.4045190669
193	0.4040939843
194	0.4035322275
195	0.4032113944
196	0.4029422589
197	0.402373926
198	0.4022520265
199	0.4018238694
200	0.4014920192
201	0.4014147573
202	0.4010618409
203	0.4007488365
204	0.4005447502
205	0.4000224213
206	0.399624611
207	0.3993185243
208	0.3989912574
209	0.3986942804
210	0.3985920237
211	0.3982652123
212	0.3978060537
213	0.3975793924
214	0.3973871487
215	0.3967035493
216	0.3965323149
217	0.3960257858
218	0.3957114433
219	0.3954311769
220	0.3950987574
221	0.3947126474
222	0.394245774
223	0.393870311
224	0.3935422755
225	0.3932918435
226	0.3929843618
227	0.3926296519
228	0.392376914
229	0.3920631693
230	0.3918864407
231	0.3914214746
232	0.3911848495
233	0.3908880433
234	0.3908090449
235	0.3904987164
236	0.3902303781
237	0.3899878886
238	0.3898488799
239	0.3894293202
240	0.389158562
241	0.3887867999
242	0.3885394993
243	0.3881673671
244	0.3878544195
245	0.3873667646
246	0.3869533823
247	0.386652676
248	0.3863280282
249	0.386067604
250	0.3857250783
251	0.3854486551
252	0.3852451951
253	0.3849076798
254	0.3845108943
255	0.3840800043
256	0.3838204341
257	0.3834709054
258	0.383182241
259	0.3829975128
260	0.3826638976
