iter	Passed	Remaining
0	1	1225
1	1	909
2	2	856
3	3	847
4	4	859
5	5	856
6	5	835
7	6	815
8	7	791
9	7	785
10	8	791
11	9	796
12	10	787
13	11	793
14	12	793
15	12	792
16	13	793
17	14	791
18	15	792
19	16	795
20	17	797
21	18	801
22	18	794
23	19	781
24	20	782
25	20	783
26	21	769
27	22	769
28	23	772
29	23	765
30	24	767
31	25	769
32	26	763
33	26	765
34	27	767
35	28	757
36	29	757
37	29	759
38	30	760
39	31	760
40	32	753
41	32	750
42	33	751
43	34	752
44	35	752
45	36	752
46	37	752
47	37	753
48	38	753
49	39	746
50	40	746
51	40	747
52	41	741
53	42	743
54	43	744
55	44	745
56	45	745
57	46	747
58	46	748
59	47	749
60	48	749
61	49	749
62	50	746
63	50	745
64	51	740
65	52	737
66	53	738
67	53	738
68	54	737
69	55	738
70	56	739
71	57	739
72	58	738
73	58	737
74	59	738
75	60	737
76	61	737
77	62	734
78	63	735
79	63	735
80	64	735
81	65	735
82	66	734
83	67	734
84	68	735
85	69	735
86	70	734
87	70	734
88	71	734
89	72	733
90	73	730
91	73	726
92	74	727
93	75	724
94	75	723
95	76	722
96	77	722
97	78	722
98	79	721
99	80	721
100	81	721
101	81	719
102	82	719
103	83	717
104	84	717
105	85	717
106	85	716
107	86	716
108	87	716
109	88	716
110	89	715
111	90	715
112	91	715
113	91	712
114	92	709
115	93	709
116	93	707
117	94	707
118	95	707
119	96	707
120	97	706
121	98	705
122	98	705
123	99	704
124	100	704
125	101	703
126	102	704
127	103	703
128	103	701
129	104	701
130	105	699
131	106	699
132	107	698
133	108	698
134	109	698
135	109	698
136	110	697
137	111	697
138	112	697
139	113	697
140	114	697
141	115	697
142	116	697
143	117	697
144	117	695
145	118	694
146	119	694
147	120	693
148	121	693
149	122	692
150	123	692
151	124	692
152	125	692
153	125	691
154	126	689
155	127	689
156	127	687
157	128	687
158	129	686
159	130	685
160	131	685
161	132	683
162	133	683
163	133	682
164	134	682
165	135	682
166	136	681
167	137	681
168	138	680
169	139	680
170	140	680
171	141	679
172	141	678
173	142	678
174	143	678
175	144	677
176	145	677
177	146	677
178	147	676
179	148	676
180	148	673
181	149	673
182	150	672
183	151	672
184	152	672
185	153	669
186	153	669
187	154	668
188	155	668
189	156	667
190	157	667
191	158	666
192	159	665
193	159	664
194	160	663
195	161	662
196	162	662
197	163	661
198	164	661
199	164	659
200	165	658
201	166	658
202	167	657
203	168	656
204	169	656
205	170	655
206	170	654
207	171	654
208	172	653
209	173	652
210	174	651
211	175	650
212	175	650
213	176	649
214	177	648
215	178	646
216	178	644
217	179	644
218	180	643
219	181	642
220	182	642
221	182	641
222	183	640
223	184	639
224	185	638
225	186	638
226	187	637
227	188	636
228	188	635
229	189	634
230	190	633
231	191	632
232	192	632
233	193	632
234	194	631
235	194	630
236	195	629
237	196	628
238	197	627
239	198	627
240	198	626
241	199	625
242	200	625
243	201	623
244	202	623
245	203	622
246	204	622
247	204	621
248	205	620
249	206	620
250	207	619
251	208	617
252	208	617
253	209	616
254	210	614
255	211	613
256	212	613
257	212	611
258	213	610
259	214	610
260	215	609
261	215	608
262	216	607
263	217	606
264	218	606
265	219	605
266	220	604
267	221	604
268	222	603
269	222	602
270	223	602
271	224	601
272	225	600
273	226	599
274	227	598
275	227	597
276	228	596
277	229	596
278	230	595
279	231	594
280	231	593
281	232	592
282	233	591
283	234	591
284	235	590
285	236	589
286	237	588
287	237	588
288	238	587
289	239	586
290	240	585
291	241	584
292	242	584
293	242	583
294	243	582
295	244	581
296	245	581
297	246	580
298	247	579
299	248	578
300	248	577
301	249	577
302	250	575
303	251	575
304	251	573
305	252	572
306	253	572
307	254	571
308	255	570
309	255	569
310	256	568
311	257	568
312	258	567
313	259	566
314	260	565
315	260	564
316	261	563
317	262	563
318	263	562
319	264	561
320	265	560
321	265	559
322	266	559
323	267	558
324	268	557
325	269	556
326	270	555
327	270	555
328	271	554
329	272	553
330	273	552
331	274	551
332	275	550
333	275	550
334	276	549
335	277	548
336	278	547
337	279	546
338	280	546
339	280	545
340	281	544
341	282	543
342	283	543
343	284	542
344	285	541
345	286	541
346	287	540
347	287	539
348	288	538
349	289	537
350	290	536
351	291	535
352	291	534
353	292	534
354	293	533
355	294	532
356	294	531
357	295	530
358	296	529
359	297	528
360	298	528
361	299	527
362	300	526
363	300	525
364	301	525
365	302	524
366	303	523
367	304	522
368	304	521
369	305	520
370	306	519
371	307	519
372	308	518
373	309	517
374	309	516
375	310	515
376	311	515
377	312	514
378	313	513
379	314	512
380	314	511
381	315	510
382	316	510
383	317	509
384	318	508
385	319	507
386	319	506
387	320	505
388	321	504
389	322	504
390	322	502
391	323	502
392	324	501
393	325	500
394	326	499
395	327	498
396	327	497
397	328	497
398	329	496
399	330	495
400	331	494
401	332	493
402	332	493
403	333	492
404	334	491
405	335	490
406	335	489
407	336	488
408	337	488
409	338	487
410	339	486
411	340	485
412	341	485
413	342	484
414	343	483
415	344	482
416	344	481
417	345	481
418	346	480
419	347	479
420	348	478
421	349	478
422	349	477
423	350	476
424	351	475
425	352	475
426	353	474
427	354	473
428	355	472
429	355	471
430	356	470
431	357	470
432	358	469
433	359	468
434	360	467
435	360	466
436	361	466
437	362	465
438	363	464
439	364	463
440	365	462
441	365	462
442	366	461
443	367	460
444	368	459
445	369	458
446	370	457
447	370	457
448	371	456
449	372	455
450	373	454
451	374	453
452	375	452
453	375	452
454	376	451
455	377	450
456	378	449
457	379	448
458	379	447
459	380	446
460	381	445
461	382	445
462	383	444
463	384	443
464	384	442
465	385	441
466	386	440
467	387	440
468	388	439
469	389	438
470	389	437
471	390	436
472	391	436
473	392	435
474	393	434
475	393	433
476	394	432
477	395	431
478	396	430
479	397	430
480	397	429
481	398	428
482	399	427
483	400	427
484	401	426
485	402	425
486	403	424
487	404	423
488	404	423
489	405	422
490	406	421
491	407	420
492	408	419
493	409	419
494	409	417
495	410	417
496	411	416
497	412	415
498	413	414
499	413	413
500	414	412
501	415	412
502	416	411
503	417	410
504	418	409
505	418	408
506	419	408
507	420	407
508	421	406
509	422	405
510	423	404
511	423	404
512	424	403
513	425	402
514	426	401
515	426	400
516	427	399
517	428	398
518	429	398
519	430	396
520	430	396
521	431	395
522	432	394
523	433	393
524	434	392
525	435	392
526	435	391
527	436	390
528	437	389
529	438	388
530	439	388
531	440	387
532	441	386
533	441	385
534	442	384
535	443	383
536	444	383
537	445	382
538	446	381
539	447	380
540	447	379
541	448	379
542	449	378
543	450	377
544	451	376
545	451	375
546	452	375
547	453	374
548	454	373
549	455	372
550	456	371
551	456	370
552	457	369
553	458	368
554	459	368
555	459	367
556	460	366
557	461	365
558	462	364
559	463	363
560	464	363
561	464	362
562	465	361
563	466	360
564	467	359
565	468	359
566	468	358
567	469	357
568	470	356
569	471	355
570	471	354
571	472	353
572	473	352
573	474	352
574	475	351
575	476	350
576	476	349
577	477	348
578	478	348
579	479	347
580	480	346
581	481	345
582	482	344
583	482	344
584	483	343
585	484	342
586	485	341
587	486	340
588	487	339
589	488	339
590	488	338
591	489	337
592	490	336
593	491	335
594	492	335
595	493	334
596	493	333
597	494	332
598	495	331
599	496	330
600	496	329
601	497	329
602	498	328
603	499	327
604	500	326
605	501	325
606	501	324
607	502	324
608	503	323
609	504	322
610	505	321
611	506	320
612	507	320
613	507	319
614	508	318
615	509	317
616	510	316
617	511	316
618	512	315
619	513	314
620	514	313
621	514	312
622	515	312
623	516	311
624	517	310
625	518	309
626	518	308
627	519	307
628	520	307
629	521	306
630	522	305
631	523	304
632	524	303
633	525	303
634	525	302
635	526	301
636	527	300
637	528	299
638	529	299
639	530	298
640	531	297
641	531	296
642	532	295
643	533	294
644	534	294
645	535	293
646	535	292
647	536	291
648	537	290
649	538	289
650	539	289
651	540	288
652	540	287
653	541	286
654	542	285
655	543	285
656	544	284
657	545	283
658	546	282
659	547	281
660	547	280
661	548	280
662	549	279
663	550	278
664	551	277
665	552	276
666	552	276
667	553	275
668	554	274
669	555	273
670	556	272
671	557	271
672	558	271
673	558	270
674	559	269
675	560	268
676	561	267
677	562	267
678	563	266
679	564	265
680	564	264
681	565	263
682	566	262
683	567	262
684	568	261
685	568	260
686	569	259
687	570	258
688	571	257
689	572	257
690	573	256
691	574	255
692	574	254
693	575	253
694	576	253
695	577	252
696	578	251
697	579	250
698	580	249
699	580	248
700	581	248
701	582	247
702	583	246
703	584	245
704	584	244
705	585	243
706	586	243
707	587	242
708	588	241
709	588	240
710	589	239
711	590	238
